id,release_date,title,vote_average,vote_count
273248,2015-12-25,The Hateful Eight,7.6,4274
329,1993-06-11,Jurassic Park,7.6,4856
242582,2014-10-23,Nightcrawler,7.6,3395
100402,2014-03-20,Captain America: The Winter Soldier,7.6,5764
578,1975-06-18,Jaws,7.5,2542
671,2001-11-16,Harry Potter and the Philosopher's Stone,7.5,7006
11321,2008-12-18,Seven Pounds,7.5,2039
14048,2008-07-25,Man on Wire,7.5,275
585,2001-11-01,"Monsters, Inc.",7.5,5996
9552,1973-12-26,The Exorcist,7.5,2005
773,2006-07-26,Little Miss Sunshine,7.5,1686
1646,2007-01-05,Freedom Writers,7.5,356
385736,2016-09-09,Kicks,7.5,18
123678,2012-08-31,The Act of Killing,7.5,210
205,2004-09-11,Hotel Rwanda,7.5,793
334,1999-12-08,Magnolia,7.5,825
22,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
142,2005-09-02,Brokeback Mountain,7.5,1480
10191,2010-03-05,How to Train Your Dragon,7.5,4227
10315,2009-10-23,Fantastic Mr. Fox,7.5,1176
7735,2008-03-11,The Wave,7.5,841
674,2005-11-05,Harry Potter and the Goblet of Fire,7.5,5608
597,1997-11-18,Titanic,7.5,7562
137106,2014-02-06,The Lego Movie,7.5,3070
2062,2007-06-22,Ratatouille,7.5,4369
272,2005-06-10,Batman Begins,7.5,7359
10229,2002-01-25,A Walk to Remember,7.5,1018
100,1998-03-05,"Lock, Stock and Two Smoking Barrels",7.5,1648
127585,2014-05-15,X-Men: Days of Future Past,7.5,6032
203833,2013-11-08,The Book Thief,7.4,1486
948,1978-10-25,Halloween,7.4,1035
49020,2011-03-18,Submarine,7.4,443
64690,2011-08-06,Drive,7.4,3725
9693,2006-09-22,Children of Men,7.4,2071
293660,2016-02-09,Deadpool,7.4,10995
9806,2004-11-05,The Incredibles,7.4,5152
18570,2008-09-07,"Food, Inc.",7.4,217
8321,2008-02-08,In Bruges,7.4,1388
338,2003-02-09,"Good bye, Lenin!",7.4,586
4982,2007-11-02,American Gangster,7.4,1502
426469,2017-02-03,Growing Up Smith,7.4,7
43949,2010-08-06,Flipped,7.4,418
190859,2014-12-11,American Sniper,7.4,4469
138843,2013-07-18,The Conjuring,7.4,3092
101299,2013-11-15,The Hunger Games: Catching Fire,7.4,6495
12837,2008-09-17,The Secret Life of Bees,7.4,158
24428,2012-04-25,The Avengers,7.4,11776
1726,2008-04-30,Iron Man,7.4,8776
2292,1994-09-13,Clerks,7.4,755
630,1939-08-15,The Wizard of Oz,7.4,1642
11798,2006-09-12,This Is England,7.4,363
79120,2011-09-22,Weekend,7.4,163
812,1992-11-25,Aladdin,7.4,3416
4550,2005-07-29,Sympathy for Lady Vengeance,7.4,356
165,1989-11-20,Back to the Future Part II,7.4,3829
10637,2000-09-29,Remember the Titans,7.4,821
767,2009-07-07,Harry Potter and the Half-Blood Prince,7.4,5293
193756,2013-12-24,Lone Survivor,7.4,1526
293863,2015-04-16,The Age of Adaline,7.4,1990
38757,2010-11-24,Tangled,7.4,3330
4638,2007-02-14,Hot Fuzz,7.4,2199
675,2007-06-28,Harry Potter and the Order of the Phoenix,7.4,5494
601,1982-04-03,E.T. the Extra-Terrestrial,7.3,3269
119450,2014-06-26,Dawn of the Planet of the Apes,7.3,4410
7979,2007-10-14,The Kite Runner,7.3,394
218,1984-10-26,The Terminator,7.3,4128
14836,2009-02-05,Coraline,7.3,1386
1430,2002-10-09,Bowling for Columbine,7.3,453
304357,2015-04-10,Woman in Gold,7.3,440
2501,2002-06-14,The Bourne Identity,7.3,3583
94329,2011-09-08,The Raid,7.3,1055
50848,2010-11-24,The Names of Love,7.3,93
312221,2015-11-25,Creed,7.3,1915
808,2001-05-16,Shrek,7.3,4056
227306,2014-12-25,Unbroken,7.3,1400
863,1999-10-30,Toy Story 2,7.3,3806
219,2006-03-16,Volver,7.3,406
99861,2015-04-22,Avengers: Age of Ultron,7.3,6767
74643,2011-05-15,The Artist,7.3,1049
17654,2009-08-05,District 9,7.3,3382
36970,2009-10-17,Oceans,7.3,111
1904,2005-12-06,Memoirs of a Geisha,7.3,652
157354,2013-07-25,Fruitvale Station,7.3,390
114150,2012-09-28,Pitch Perfect,7.3,2247
13689,2006-03-30,Peaceful Warrior,7.3,90
704,1964-07-06,A Hard Day's Night,7.3,168
921,2005-06-02,Cinderella Man,7.3,616
2757,2002-12-06,Adaptation.,7.3,638
36557,2006-11-14,Casino Royale,7.3,3855
43418,2010-04-15,Beneath Hill 60,7.3,40
168259,2015-04-01,Furious 7,7.3,4176
318846,2015-12-11,The Big Short,7.3,2607
4922,2008-11-24,The Curious Case of Benjamin Button,7.3,3292
2503,2007-08-03,The Bourne Ultimatum,7.3,2888
12163,2008-09-07,The Wrestler,7.3,1000
44214,2010-12-02,Black Swan,7.3,4430
3580,2008-01-30,Changeling,7.3,1131
49047,2013-09-27,Gravity,7.3,5751
5723,2007-03-23,Once,7.3,453
26963,2009-02-09,The Secret of Kells,7.3,181
281957,2015-12-25,The Revenant,7.3,6396
388,2006-03-23,Inside Man,7.3,1630
109445,2013-11-27,Frozen,7.3,5295
65754,2011-12-14,The Girl with the Dragon Tattoo,7.2,2434
2502,2004-07-23,The Bourne Supremacy,7.2,2825
308639,2015-06-19,Dope,7.2,691
22881,2009-11-20,The Blind Side,7.2,1597
226,1999-09-02,Boys Don't Cry,7.2,353
756,1940-11-13,Fantasia,7.2,808
44264,2010-12-22,True Grit,7.2,1668
13508,2006-08-04,Who Killed the Electric Car?,7.2,59
201132,2013-09-05,Antarctica: A Year on Ice,7.2,29
1640,2004-01-13,Crash,7.2,1149
18947,2009-04-01,The Boat That Rocked,7.2,666
1251,2006-12-19,Letters from Iwo Jima,7.2,541
13007,2008-10-01,Religulous,7.2,197
8374,1999-01-22,The Boondock Saints,7.2,837
46829,2010-10-26,Barney's Version,7.2,129
686,1997-07-11,Contact,7.2,1308
12162,2008-10-10,The Hurt Locker,7.2,1840
19995,2009-12-10,Avatar,7.2,11800
18785,2009-06-05,The Hangover,7.2,6173
19908,2009-10-07,Zombieland,7.2,3550
658,1964-09-17,Goldfinger,7.2,987
12901,2007-07-27,No End in Sight,7.2,23
470,2003-09-06,21 Grams,7.2,918
45317,2010-12-17,The Fighter,7.2,1486
167073,2015-10-20,Brooklyn,7.2,1213
3933,2005-09-09,Corpse Bride,7.2,1894
187,2005-04-01,Sin City,7.2,2691
76341,2015-05-13,Mad Max: Fury Road,7.2,9427
205587,2014-10-08,The Judge,7.2,1417
319888,2016-02-26,Eddie the Eagle,7.2,661
33511,2009-12-25,Nowhere Boy,7.2,244
161,2001-12-07,Ocean's Eleven,7.2,3783
19913,2009-07-17,(500) Days of Summer,7.2,2904
178862,2013-02-20,Aroused,7.2,11
22538,2010-07-27,Scott Pilgrim vs. the World,7.2,2126
2252,2007-09-14,Eastern Promises,7.2,848
87827,2012-11-20,Life of Pi,7.2,5797
1669,1990-03-02,The Hunt for Red October,7.2,957
7944,2008-02-07,Shine a Light,7.2,44
45612,2011-03-30,Source Code,7.1,2699
242,1990-12-24,The Godfather: Part III,7.1,1546
8329,2007-04-10,[REC],7.1,934
451,1995-10-27,Leaving Las Vegas,7.1,360
8337,1988-11-23,They Live,7.1,550
2771,2003-08-15,American Splendor,7.1,120
167,2001-10-22,K-PAX,7.1,695
196,1990-05-25,Back to the Future Part III,7.1,2900
2270,2007-08-09,Stardust,7.1,1184
4688,2007-09-14,Across the Universe,7.1,410
37799,2010-09-30,The Social Network,7.1,3391
257211,2015-09-24,The Intern,7.1,1881
2355,2007-03-23,Reign Over Me,7.1,334
28089,2009-11-13,The Messenger,7.1,119
328387,2016-07-27,Nerve,7.1,2181
5123,2007-11-21,August Rush,7.1,797
462,2000-03-17,Erin Brockovich,7.1,716
72914,2010-04-16,"Fat, Sick & Nearly Dead",7.1,47
12289,2008-07-10,Red Cliff,7.1,205
1427,2006-09-13,Perfume: The Story of a Murderer,7.1,1165
181330,2013-07-03,Kevin Hart: Let Me Explain,7.1,95
48034,2010-10-20,Little White Lies,7.1,380
10024,2009-06-26,My Sister's Keeper,7.1,598
345,1999-07-14,Eyes Wide Shut,7.1,1234
10139,2008-11-26,Milk,7.1,612
82695,2012-12-18,Les Misérables,7.1,1884
306745,2015-10-02,Freeheld,7.1,164
1443,1999-04-21,The Virgin Suicides,7.1,817
6978,1986-05-30,Big Trouble in Little China,7.1,705
68734,2012-10-11,Argo,7.1,3423
87,1984-05-23,Indiana Jones and the Temple of Doom,7.1,2781
20352,2010-07-08,Despicable Me,7.1,6478
425,2002-03-10,Ice Age,7.1,3857
1262,2006-09-09,Stranger Than Fiction,7.1,721
51497,2011-04-20,Fast Five,7.1,2438
177677,2015-07-23,Mission: Impossible - Rogue Nation,7.1,3224
3131,2002-12-14,Gangs of New York,7.1,1910
81188,2012-11-21,Rise of the Guardians,7.1,1922
49538,2011-05-24,X-Men: First Class,7.1,5181
271110,2016-04-27,Captain America: Civil War,7.1,7241
122917,2014-12-10,The Hobbit: The Battle of the Five Armies,7.1,4760
66125,2011-08-04,Red Dog,7.1,83
82690,2012-11-01,Wreck-It Ralph,7.1,4570
6615,2007-10-12,Lars and the Real Girl,7.1,509
239563,2014-10-09,St. Vincent,7.1,763
771,1990-11-09,Home Alone,7.1,2414
473,1998-07-10,Pi,7.1,586
1895,2005-05-17,Star Wars: Episode III - Revenge of the Sith,7.1,4116
40807,2011-09-30,50/50,7.0,1261
61791,2011-08-03,Rise of the Planet of the Apes,7.0,4347
259693,2016-05-13,The Conjuring 2,7.0,1949
84401,2012-02-24,Sholem Aleichem: Laughing In The Darkness,7.0,2
1024,1994-09-02,Heavenly Creatures,7.0,294
50348,2011-03-17,The Lincoln Lawyer,7.0,902
14438,2008-09-26,Fireproof,7.0,100
102651,2014-05-28,Maleficent,7.0,4496
175555,2013-12-13,A Madea Christmas,7.0,35
10528,2009-12-23,Sherlock Holmes,7.0,5766
1265,2007-02-16,Bridge to Terabithia,7.0,1113
49051,2012-11-26,The Hobbit: An Unexpected Journey,7.0,8297
72113,2011-09-16,Carnage,7.0,738
77495,2011-10-14,Sleep Tight,7.0,202
241771,2014-09-10,Beyond the Lights,7.0,139
51828,2011-03-02,One Day,7.0,978
14139,2007-09-20,Timecrimes,7.0,308
1271,2006-12-09,300,7.0,4997
509,1999-05-13,Notting Hill,7.0,1262
300671,2016-01-13,13 Hours: The Secret Soldiers of Benghazi,7.0,938
116149,2014-11-27,Paddington,7.0,883
860,1983-06-03,WarGames,7.0,504
58574,2011-11-22,Sherlock Holmes: A Game of Shadows,7.0,3886
44944,2010-11-05,For Colored Girls,7.0,22
187017,2014-06-05,22 Jump Street,7.0,3319
50646,2011-07-29,"Crazy, Stupid, Love.",7.0,2443
60308,2011-09-22,Moneyball,7.0,1381
22954,2009-12-10,Invictus,7.0,1125
102899,2015-07-14,Ant-Man,7.0,5880
256962,2015-04-23,Little Boy,7.0,185
22074,2009-09-06,Capitalism: A Love Story,7.0,167
1544,2005-02-01,Imagine Me & You,7.0,177
199,1996-11-21,Star Trek: First Contact,7.0,661
13183,2009-03-05,Watchmen,7.0,2811
7350,2007-12-25,The Bucket List,7.0,1111
508,2003-09-07,Love Actually,7.0,1869
26815,2009-12-11,Rocket Singh: Salesman of the Year,7.0,27
57212,2011-12-25,War Horse,7.0,992
44826,2011-11-22,Hugo,7.0,2141
1213,1999-12-25,The Talented Mr. Ripley,7.0,767
23168,2010-09-15,The Town,7.0,1468
8363,2007-08-17,Superbad,7.0,2100
25719,1997-08-22,Shooting Fish,7.0,23
58,2006-06-20,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
7326,2007-12-05,Juno,7.0,2244
4512,2007-09-02,The Assassination of Jesse James by the Coward Robert Ford,7.0,776
7304,2006-01-06,Running Scared,7.0,331
37495,2010-05-07,Four Lions,7.0,423
93456,2013-06-25,Despicable Me 2,7.0,4637
198663,2014-09-10,The Maze Runner,7.0,5371
10634,1995-04-26,Friday,7.0,503
18320,2009-03-04,The Young Victoria,7.0,322
594,2004-06-17,The Terminal,7.0,1910
321741,2015-11-12,Concussion,7.0,823
32579,2008-03-20,Under the Same Moon,7.0,28
350,2006-06-30,The Devil Wears Prada,7.0,3088
8469,1978-07-27,Animal House,7.0,418
26428,2009-05-17,Agora,6.9,395
157350,2014-03-14,Divergent,6.9,4663
7485,2007-03-22,Shooter,6.9,1462
25793,2009-11-06,Precious,6.9,417
8291,1993-07-23,Poetic Justice,6.9,47
23169,2010-03-12,Remember Me,6.9,948
1259,2006-12-25,Notes on a Scandal,6.9,235
188166,2014-04-25,Blue Ruin,6.9,462
615,2004-02-25,The Passion of the Christ,6.9,864
9502,2008-06-04,Kung Fu Panda,6.9,3145
14306,2008-12-25,Marley & Me,6.9,1343
844,2004-05-20,2046,6.9,206
8619,2003-11-14,Master and Commander: The Far Side of the World,6.9,790
15907,2005-04-22,Duma,6.9,41
5176,2007-09-06,3:10 to Yuma,6.9,1188
657,1963-10-11,From Russia with Love,6.9,760
755,1996-01-19,From Dusk Till Dawn,6.9,1603
43959,2011-04-08,Soul Surfer,6.9,342
11386,1992-09-02,The Crying Game,6.9,176
297,1998-11-12,Meet Joe Black,6.9,1147
70160,2012-03-12,The Hunger Games,6.9,9455
10625,2004-04-30,Mean Girls,6.9,2320
67660,2012-04-16,Think Like a Man,6.9,281
42297,2010-11-23,Burlesque,6.9,573
43539,2010-11-18,The Next Three Days,6.9,905
38810,2009-06-01,Dogtooth,6.9,332
43923,2010-07-06,It's Kind of a Funny Story,6.9,672
1103,1981-05-22,Escape from New York,6.9,703
14337,2004-10-08,Primer,6.9,658
1850,1999-12-22,Man on the Moon,6.9,435
408,1937-12-20,Snow White and the Seven Dwarfs,6.9,1914
82693,2012-09-08,Silver Linings Playbook,6.9,4742
2196,2007-02-09,Death at a Funeral,6.9,497
12247,2007-10-01,Shotgun Stories,6.9,57
2977,2007-03-02,Becoming Jane,6.9,317
285783,2015-09-30,The Walk,6.9,1121
37724,2012-10-25,Skyfall,6.9,7604
139948,2012-11-01,Burn,6.9,6
13809,2008-09-04,RockNRolla,6.9,836
9675,2004-10-22,Sideways,6.9,478
12281,2004-01-15,Mean Creek,6.9,106
6479,2007-12-14,I Am Legend,6.9,4853
74534,2011-11-28,The Best Exotic Marigold Hotel,6.9,459
9400,1996-11-06,Set It Off,6.9,66
1667,2005-01-26,March of the Penguins,6.9,358
607,1997-07-02,Men in Black,6.9,4412
27585,2010-12-16,Rabbit Hole,6.9,165
22051,2009-07-29,Adam,6.9,150
35,2007-07-25,The Simpsons Movie,6.9,2264
285,2007-05-19,Pirates of the Caribbean: At World's End,6.9,4500
868,2005-08-18,Tsotsi,6.9,94
546,2005-12-23,Transamerica,6.9,144
46705,2010-12-27,Blue Valentine,6.9,890
64685,2011-12-24,Extremely Loud & Incredibly Close,6.9,708
646,1962-10-04,Dr. No,6.9,940
18533,2008-10-09,Bronson,6.9,733
436,2004-01-18,Maria Full of Grace,6.9,101
9701,2005-02-12,North Country,6.8,125
37232,2003-09-09,Travellers and Magicians,6.8,9
39486,2010-08-20,Secretariat,6.8,103
533,2005-09-04,The Curse of the Were-Rabbit,6.8,643
138832,2013-08-07,We're the Millers,6.8,2972
51162,2011-04-13,Winnie the Pooh,6.8,258
16564,2008-11-17,Winter in Wartime,6.8,66
75861,2015-03-13,To Write Love on Her Arms,6.8,47
84175,2012-06-29,Beasts of the Southern Wild,6.8,403
76338,2013-10-29,Thor: The Dark World,6.8,4755
9487,1998-11-25,A Bug's Life,6.8,2303
20766,2009-11-25,The Road,6.8,1087
168672,2013-12-12,American Hustle,6.8,2807
72213,2011-09-30,Courageous,6.8,77
29963,2009-11-05,Bright Star,6.8,107
557,2002-05-01,Spider-Man,6.8,5265
1381,2006-09-06,The Fountain,6.8,827
1832,1999-11-12,Dogma,6.8,823
55347,2010-09-11,Beginners,6.8,347
56292,2011-12-07,Mission: Impossible - Ghost Protocol,6.8,3972
4170,2007-01-23,Trade,6.8,67
39013,2010-06-11,Winter's Bone,6.8,565
924,2004-03-19,Dawn of the Dead,6.8,1016
157386,2013-08-02,The Spectacular Now,6.8,1048
68721,2013-04-18,Iron Man 3,6.8,8806
84329,2012-08-16,Robot & Frank,6.8,450
256917,2014-12-25,The Water Diviner,6.8,431
272693,2015-02-20,The DUFF,6.8,1322
333371,2016-03-10,10 Cloverfield Lane,6.8,2468
65,2002-11-08,8 Mile,6.8,1626
327,2000-09-09,Brother,6.8,107
228161,2015-03-18,Home,6.8,1519
49519,2013-03-20,The Croods,6.8,2399
29406,2008-04-24,Trucker,6.8,16
2652,2005-01-14,Hard Candy,6.8,701
83860,2011-10-30,October Baby,6.8,35
21755,2008-09-09,The Brothers Bloom,6.8,203
76492,2012-09-20,Hotel Transylvania,6.8,2566
3291,2005-09-16,"Good Night, and Good Luck.",6.8,273
33870,2009-10-01,Mao's Last Dancer,6.8,28
3509,2006-05-25,A Scanner Darkly,6.8,532
398,2005-09-30,Capote,6.8,384
1165,2006-09-15,The Queen,6.8,338
321697,2015-10-09,Steve Jobs,6.8,1573
79161,2006-10-18,51 Birch Street,6.8,6
334531,2015-11-13,My All American,6.8,36
89750,2011-09-11,"Pink Ribbons, Inc.",6.8,6
97367,2013-03-20,The Place Beyond the Pines,6.8,1653
19265,2009-06-19,Whatever Works,6.8,350
42188,2010-09-15,Never Let Me Go,6.8,737
3170,1942-08-14,Bambi,6.8,1405
67913,2011-07-07,The Guard,6.8,372
49018,2010-09-13,Insidious,6.8,1737
24684,2009-10-29,An Education,6.8,409
10133,2002-10-01,Cypher,6.7,192
8390,2008-02-08,"Definitely, Maybe",6.7,620
118,2005-07-13,Charlie and the Chocolate Factory,6.7,3624
46146,2010-10-29,Troll Hunter,6.7,583
13751,2006-04-28,Akeelah and the Bee,6.7,81
18240,2009-06-01,The Proposal,6.7,1804
1581,2006-12-08,The Holiday,6.7,1225
558,2004-06-25,Spider-Man 2,6.7,4321
256591,2015-02-25,Focus,6.7,2542
253412,2015-09-10,Everest,6.7,1772
150689,2015-03-12,Cinderella,6.7,2374
49444,2011-05-25,Kung Fu Panda 2,6.7,1880
140300,2016-01-23,Kung Fu Panda 3,6.7,1603
50839,2011-09-28,Margin Call,6.7,524
1781,2006-01-24,An Inconvenient Truth,6.7,251
64688,2012-03-12,21 Jump Street,6.7,4074
37735,2010-09-10,Easy A,6.7,2210
1988,2007-01-01,A Mighty Heart,6.7,95
328425,2015-07-30,The Gift,6.7,1049
276907,2015-09-09,Legend,6.7,973
43090,2010-04-30,Gunless,6.7,27
227735,2014-09-12,Dolphin Tale 2,6.7,96
4464,2003-07-22,Seabiscuit,6.7,216
63574,2012-01-13,Joyful Noise,6.7,33
62837,2011-09-23,Dolphin Tale,6.7,163
12783,2008-09-05,The Duchess,6.7,396
13155,1985-06-21,Return to Oz,6.7,120
291805,2016-06-02,Now You See Me 2,6.7,3235
1648,1989-02-17,Bill & Ted's Excellent Adventure,6.7,454
37003,2007-05-19,U2 3D,6.7,10
13198,2006-01-24,Wristcutters: A Love Story,6.7,160
68726,2013-07-11,Pacific Rim,6.7,4794
55787,2011-03-15,Water for Elephants,6.7,850
809,2004-05-19,Shrek 2,6.7,2988
110415,2013-08-01,Snowpiercer,6.7,2854
107846,2013-10-09,Escape Plan,6.7,1659
10865,2001-06-02,Atlantis: The Lost Empire,6.7,1224
36811,2009-09-04,The Last Station,6.7,55
1833,2005-11-23,Rent,6.7,155
44835,2010-01-22,Hesher,6.7,212
49530,2011-10-27,In Time,6.7,3417
50837,2011-10-21,Martha Marcy May Marlene,6.7,277
72190,2013-06-20,World War Z,6.7,5560
2787,2000-02-18,Pitch Black,6.7,1789
313922,2016-04-15,Green Room,6.7,683
5876,2007-11-21,The Mist,6.7,1399
51052,2011-02-22,Arthur Christmas,6.7,333
62177,2012-06-21,Brave,6.7,4641
339984,2016-03-17,Miracles from Heaven,6.7,186
20083,2009-03-22,Shinjuku Incident,6.7,65
8292,2005-08-11,Four Brothers,6.7,607
1255,2006-07-27,The Host,6.7,537
86838,2012-09-07,Seven Psychopaths,6.7,1206
957,1987-06-24,Spaceballs,6.7,902
18734,2001-01-20,L.I.E.,6.7,31
77174,2012-08-03,ParaNorman,6.7,789
22947,2009-09-05,Up in the Air,6.7,1205
1584,2003-10-03,School of Rock,6.7,1414
13576,2009-10-28,This Is It,6.7,247
38055,2010-10-28,Megamind,6.7,1918
65057,2011-09-09,The Descendants,6.7,934
17578,2011-10-25,The Adventures of Tintin,6.7,2061
41402,2010-10-01,Let Me In,6.7,641
97630,2012-12-19,Zero Dark Thirty,6.7,1702
954,1996-05-22,Mission: Impossible,6.7,2631
1947,2005-09-09,An Unfinished Life,6.7,161
3877,2007-09-26,Things We Lost in the Fire,6.7,90
454,1996-10-31,Romeo + Juliet,6.7,1374
10198,2009-12-08,The Princess and the Frog,6.7,1247
16995,2009-04-17,State of Play,6.7,484
2255,1997-04-04,Chasing Amy,6.7,433
131634,2015-11-18,The Hunger Games: Mockingjay - Part 2,6.6,3984
59967,2012-09-26,Looper,6.6,4697
1495,2005-05-03,Kingdom of Heaven,6.6,1157
9654,2003-05-30,The Italian Job,6.6,1919
4523,2007-11-20,Enchanted,6.6,1449
1771,2011-07-22,Captain America: The First Avenger,6.6,7047
1125,2006-12-25,Dreamgirls,6.6,284
43347,2010-11-22,Love & Other Drugs,6.6,1233
315664,2016-05-06,Florence Foster Jenkins,6.6,392
198185,2014-05-09,Million Dollar Arm,6.6,259
87825,2012-09-21,Trouble with the Curve,6.6,366
37686,2011-06-08,Super 8,6.6,2435
44945,2010-09-10,Trust,6.6,307
37056,2010-05-14,Letters to Juliet,6.6,796
10138,2010-04-28,Iron Man 2,6.6,6849
62214,2012-10-04,Frankenweenie,6.6,932
5353,2007-09-03,The Hunting Party,6.6,96
8271,2007-04-12,Disturbia,6.6,1006
78698,2012-02-02,Big Miracle,6.6,152
41233,2010-08-04,Step Up 3D,6.6,582
26388,2010-09-24,Buried,6.6,827
188652,2013-04-26,The Ghastly Love of Johnny X,6.6,8
10189,2008-08-06,Pineapple Express,6.6,1148
7874,2006-12-08,Black Snake Moan,6.6,243
39254,2011-09-28,Real Steel,6.6,2692
17332,2009-04-24,The Soloist,6.6,234
131631,2014-11-18,The Hunger Games: Mockingjay - Part 1,6.6,5584
1858,2007-06-27,Transformers,6.6,4040
80274,2013-10-23,Ender's Game,6.6,2303
13996,2008-08-06,Bottle Shock,6.6,60
277,2003-09-19,Underworld,6.6,2512
49517,2011-09-16,Tinker Tailor Soldier Spy,6.6,840
24803,2009-08-06,Julie & Julia,6.6,560
158011,2013-03-14,The Call,6.6,1257
8618,2006-10-02,The History Boys,6.6,66
